id;rate;temp;cv
102;30;349,3287396;1055149,136
102;30;352,0312319;1060449,399
102;30;353,2427385;1062599,109
102;30;358,5540558;1075444,265
102;30;361,3500095;1079545,048
102;30;363,9591427;1085524,523
102;30;366,0092201;1089997,952
102;30;368,0595521;1093178,41
102;30;369,6438841;1095714,399
102;30;372,1603093;1099065,237
102;30;374,5833128;1103413,913
102;30;376,4472884;1106114,931
102;30;379,42951;1111144,616
102;30;381,3760225;1115522,717
102;30;383,3432442;1119939,038
102;30;386,1391884;1124088,394
102;30;388,1895543;1127096,456
102;30;390,095064;1129286,264
102;30;392,0105132;1133604,041
102;30;396,2037441;1143310,115
102;30;398,0673169;1148057,31
102;30;401,6086395;1154363,18
102;30;402,820197;1156254,296
102;30;406,7345224;1162044,956
102;30;409,81012;1166309,23
102;30;412,0201337;1170166,267
102;30;413,91075;1172842,542
102;30;416,8932686;1176363,761
102;30;418,4779498;1177125,507
102;30;420,8553075;1176562,123
102;30;422,3940872;1173710,936
103;20;193,8728107;493433,5773
103;20;196,2682633;502430,9051
103;20;203,7190453;539248,3125
103;20;205,7672734;553117,3265
103;20;207,8145767;571684,1332
103;20;209,8610147;594647,0395
103;20;211,9064771;622566,3325
103;20;213,9513542;653459,4577
103;20;215,3452778;676101,9433
103;20;218,2473927;719731,8985
103;20;223,8852136;768322,688
103;20;225,8592354;780291,3579
103;20;227,6474434;789024,0981
103;20;230,8893372;800957,116
103;20;232,4733299;805217,0652
103;20;237,5225281;823589,875
103;20;239,6470485;828761,1852
103;20;241,6970666;833536,3069
103;20;243,7469489;839001,0129
103;20;245,4242009;843088,1629
103;20;253,6241205;862964,432
103;20;257,1335903;873221,1792
103;20;265,2136015;902358,5008
103;20;267,5988115;909264,1359
103;20;269,5554995;914571,2152
103;20;272,3640743;922212,2173
103;20;274,6801842;928340,7277
103;20;276,6369004;933504,1437
103;20;280,7366363;944580,0922
103;20;284,3705062;954330,6068
103;20;290,8614793;973266,0885
103;20;292,1036453;977527,5158
103;20;306,3907322;1015471,85
103;20;308,2609863;1017850,009
103;20;310,2741547;1020387,838
103;20;312,6978829;1021054,626
103;20;314,0962645;1021048,579
103;20;331,2946556;1029626,328
103;20;334,8829338;1034190,077
103;20;349,6077606;1058477,326
103;20;352,6208;1064814,212
103;20;354,5932593;1068934,206
103;20;368,6192441;1091452,031
103;20;376,0740643;1107754,307
103;20;377,8135684;1111324
103;20;379,987937;1115844,778
103;20;382,7835305;1121775,56
103;20;384,1813141;1124807,993
103;20;388,5617265;1130801,358
103;20;391,3574802;1135918,047
103;20;393,2212736;1139544,668
103;20;395,6441086;1144749,167
103;20;401,7023782;1151755,286
103;20;410,1451412;1169307,47
103;20;412,8616573;1174404,03
103;20;414,5624384;1177359,73
103;20;417,1716613;1182883,433
103;20;419,5006457;1191264,733
103;20;421,5498323;1200263,558
103;20;422,6670446;1207844,147
104;10;194,1735137;488098,7783
104;10;207,8178938;554832,4181
104;10;209,8652989;572882,0366
104;10;211,8179405;598745,9098
104;10;213,0262599;617087,9199
104;10;216,3643823;708486,419
104;10;218,4072063;749809,5059
104;10;220,454569;768074,6195
104;10;222,3490686;773575,9132
104;10;224,5352441;781262,5004
104;10;226,7622883;793321,8155
104;10;228,6507559;806914,4555
104;10;230,0486285;809494,3493
104;10;233,9630706;814692,3985
104;10;237,2239844;824720,3593
104;10;248,0061978;851610,5953
104;10;249,5229343;859257,1837
104;10;251,8525805;864275,8368
104;10;256,0450722;877736,9128
104;10;257,721934;883806,6175
104;10;260,1466439;879486,2344
104;10;262,1959287;887986,3424
104;10;264,9913455;894814,6778
104;10;266,5755982;897753,95
104;10;269,2342445;915310,0759
104;10;270,4869141;918833,9864
104;10;273,0974598;917637,4756
104;10;275,4244607;936095,3254
104;10;277,7246239;933025,3512
104;10;279,5272285;931767,6858
104;10;283,0659099;951491,7157
104;10;286,7945034;953630,541
104;10;289,1217143;971021,6901
104;10;292,4206678;977241,6917
104;10;294,8068099;979412,1815
104;10;302,2323171;1009315,391
104;10;304,1221262;1016092,229
104;10;306,1723988;1019574,38
104;10;307,5707868;1019536,009
104;10;310,6464332;1023552,463
104;10;313,8184036;1011826,599
104;10;315,8695755;1010740,255
104;10;317,9179877;1023673,405
104;10;320,1553376;1023972,264
104;10;325,0039552;1019406,749
104;10;326,2155721;1020996,171
104;10;330,2244612;1019987,559
104;10;332,1584258;1022333,478
104;10;335,769197;1031029,245
104;10;338,2375586;1041751,414
104;10;341,6161306;1046056,279
104;10;344,2042904;1040183,626
104;10;346,6242919;1059783,196
104;10;349,2378281;1043394,283
104;10;351,3058246;1062080,719
104;10;353,1475741;1072450,031
104;10;356,5052557;1064481,356
104;10;358,5722663;1077652,085
104;10;360,6040373;1080404,866
104;10;362,7160133;1086157,229
104;10;364,5643106;1089573,21
104;10;366,7562623;1083702,271
104;10;369,0986359;1091720,865
104;10;371,412877;1107343,473
104;10;373,184083;1107729,092
104;10;377,4713592;1113269,243
104;10;382,0394685;1112931,173
104;10;385,3942765;1119561,433
104;10;387,8147607;1136709,149
104;10;389,3060912;1138107,726
104;10;395,084377;1146676,676
104;10;396,6689975;1147747,298
104;10;399,6822188;1153159,95
104;10;401,5162772;1149978,258
104;10;404,5899618;1163961,36
104;10;406,7169458;1156616,716
104;10;408,8999143;1172702,59
104;10;410,3668186;1179790,646
104;10;413,8077553;1169850,003
104;10;415,9583842;1189728,488
104;10;418,0112273;1180151,637
104;10;420,0630778;1175617,371
104;10;421,2739821;1180827,112
